"Barnwell County,  South Carolina", South Carolina
"Barranquitas Municipality,  Puerto Rico", Puerto Rico
"Barren County,  Kentucky", Kentucky
"Barron County,  Wisconsin", Wisconsin
"Barrow County,  Georgia", Georgia
"Barry County,  Michigan", Michigan
"Barry County,  Missouri", Missouri
"Bartholomew County,  Indiana", Indiana
"Barton County,  Kansas", Kansas
"Barton County,  Missouri", Missouri
"Bartow County,  Georgia", Georgia
"Bastrop County,  Texas", Texas
"Bates County,  Missouri", Missouri
"Bath County,  Kentucky", Kentucky
"Bath County,  Virginia", Virginia
"Baxter County,  Arkansas", Arkansas
"Bay County,  Florida", Florida
"Bay County,  Michigan", Michigan
"Bayamón Municipality,  Puerto Rico", Puerto Rico
"Bayfield County,  Wisconsin", Wisconsin
"Baylor County,  Texas", Texas
"Beadle County,  South Dakota", South Dakota
"Bear Lake County,  Idaho", Idaho
"Beaufort County,  North Carolina", North Carolina
"Beaufort County,  South Carolina", South Carolina
"Beauregard Parish,  Louisiana", Louisiana
"Beaver County,  Oklahoma", Oklahoma
"Beaver County,  Pennsylvania", Pennsylvania
"Beaver County,  Utah", Utah
"Beaverhead County,  Montana", Montana
"Becker County,  Minnesota", Minnesota
"Beckham County,  Oklahoma", Oklahoma
"Bedford County,  Pennsylvania", Pennsylvania
"Bedford County,  Tennessee", Tennessee
"Bedford County,  Virginia", Virginia
"Bee County,  Texas", Texas
"Belknap County,  New Hampshire", New Hampshire
"Bell County,  Kentucky", Kentucky
"Bell County,  Texas", Texas
"Belmont County,  Ohio", Ohio
"Beltrami County,  Minnesota", Minnesota
"Ben Hill County,  Georgia", Georgia
"Benewah County,  Idaho", Idaho
"Bennett County,  South Dakota", South Dakota
"Bennington County,  Vermont", Vermont
"Benson County,  North Dakota", North Dakota
"Bent County,  Colorado", Colorado
"Benton County,  Arkansas", Arkansas
"Benton County,  Indiana", Indiana
"Benton County,  Iowa", Iowa
"Benton County,  Minnesota", Minnesota
"Benton County,  Mississippi", Mississippi
"Benton County,  Missouri", Missouri
"Benton County,  Oregon", Oregon
"Benton County,  Tennessee", Tennessee
"Benton County,  Washington", Washington
"Benzie County,  Michigan", Michigan
"Bergen County,  New Jersey", New Jersey
"Berkeley County,  South Carolina", South Carolina
"Berkeley County,  West Virginia", West Virginia
"Berks County,  Pennsylvania", Pennsylvania
"Berkshire County,  Massachusetts", Massachusetts
"Bernalillo County,  New Mexico", New Mexico
"Berrien County,  Georgia", Georgia
"Berrien County,  Michigan", Michigan
"Bertie County,  North Carolina", North Carolina
"Bethel Census Area,  Alaska", Alaska
"Bexar County,  Texas", Texas
"Bibb County,  Alabama", Alabama
"Bibb County,  Georgia", Georgia
"Bienville Parish,  Louisiana", Louisiana
"Big Horn County,  Montana", Montana
"Big Horn County,  Wyoming", Wyoming
"Big Stone County,  Minnesota", Minnesota
"Billings County,  North Dakota", North Dakota
"Bingham County,  Idaho", Idaho
"Black Hawk County,  Iowa", Iowa
"Blackford County,  Indiana", Indiana
"Bladen County,  North Carolina", North Carolina
"Blaine County,  Idaho", Idaho
"Blaine County,  Montana", Montana
"Blaine County,  Nebraska", Nebraska
"Blaine County,  Oklahoma", Oklahoma
"Blair County,  Pennsylvania", Pennsylvania
"Blanco County,  Texas", Texas
"Bland County,  Virginia", Virginia
"Bleckley County,  Georgia", Georgia
"Bledsoe County,  Tennessee", Tennessee
"Blount County,  Alabama", Alabama
"Blount County,  Tennessee", Tennessee
"Blue Earth County,  Minnesota", Minnesota
"Boise County,  Idaho", Idaho
"Bolivar County,  Mississippi", Mississippi
"Bollinger County,  Missouri", Missouri
"Bon Homme County,  South Dakota", South Dakota
"Bond County,  Illinois", Illinois
"Bonner County,  Idaho", Idaho
"Bonneville County,  Idaho", Idaho
"Boone County,  Arkansas", Arkansas
"Boone County,  Illinois", Illinois
"Boone County,  Indiana", Indiana
"Boone County,  Iowa", Iowa
"Boone County,  Kentucky", Kentucky
"Boone County,  Missouri", Missouri
"Boone County,  Nebraska", Nebraska
"Boone County,  West Virginia", West Virginia
"Borden County,  Texas", Texas
"Bosque County,  Texas", Texas
"Bossier Parish,  Louisiana", Louisiana
"Botetourt County,  Virginia", Virginia
"Bottineau County,  North Dakota", North Dakota
"Boulder County,  Colorado", Colorado
"Boundary County,  Idaho", Idaho
"Bourbon County,  Kansas", Kansas
"Bourbon County,  Kentucky", Kentucky
"Bowie County,  Texas", Texas
"Bowman County,  North Dakota", North Dakota
"Box Butte County,  Nebraska", Nebraska
"Box Elder County,  Utah", Utah
"Boyd County,  Kentucky", Kentucky
"Boyd County,  Nebraska", Nebraska
"Boyle County,  Kentucky", Kentucky
"Bracken County,  Kentucky", Kentucky
"Bradford County,  Florida", Florida
"Bradford County,  Pennsylvania", Pennsylvania
"Bradley County,  Arkansas", Arkansas
"Bradley County,  Tennessee", Tennessee
"Branch County,  Michigan", Michigan
"Brantley County,  Georgia", Georgia
"Braxton County,  West Virginia", West Virginia
"Brazoria County,  Texas", Texas
"Brazos County,  Texas", Texas
"Breathitt County,  Kentucky", Kentucky
"Breckinridge County,  Kentucky", Kentucky
"Bremer County,  Iowa", Iowa
"Brevard County,  Florida", Florida
"Brewster County,  Texas", Texas
"Briscoe County,  Texas", Texas
"Bristol Bay Borough,  Alaska", Alaska
"Bristol County,  Massachusetts", Massachusetts
"Bristol County,  Rhode Island", Rhode Island
"Broadwater County,  Montana", Montana
"Bronx County,  New York", New York
"Brooke County,  West Virginia", West Virginia
"Brookings County,  South Dakota", South Dakota
"Brooks County,  Georgia", Georgia
"Brooks County,  Texas", Texas
"Broome County,  New York", New York
"City and County of Broomfield,  Colorado", Colorado
"Broward County,  Florida", Florida
"Brown County,  Illinois", Illinois
"Brown County,  Indiana", Indiana
"Brown County,  Kansas", Kansas
"Brown County,  Minnesota", Minnesota
"Brown County,  Nebraska", Nebraska
"Brown County,  Ohio", Ohio
"Brown County,  South Dakota", South Dakota
"Brown County,  Texas", Texas
"Brown County,  Wisconsin", Wisconsin
"Brule County,  South Dakota", South Dakota
"Brunswick County,  North Carolina", North Carolina
"Brunswick County,  Virginia", Virginia
"Bryan County,  Georgia", Georgia
"Bryan County,  Oklahoma", Oklahoma
"Buchanan County,  Iowa", Iowa
"Buchanan County,  Missouri", Missouri
"Buchanan County,  Virginia", Virginia
"Buckingham County,  Virginia", Virginia
"Bucks County,  Pennsylvania", Pennsylvania
"Buena Vista County,  Iowa", Iowa
"Buffalo County,  Nebraska", Nebraska
"Buffalo County,  South Dakota", South Dakota
"Buffalo County,  Wisconsin", Wisconsin
"Bullitt County,  Kentucky", Kentucky
"Bulloch County,  Georgia", Georgia
"Bullock County,  Alabama", Alabama
"Buncombe County,  North Carolina", North Carolina
"Bureau County,  Illinois", Illinois
"Burke County,  Georgia", Georgia
"Burke County,  North Carolina", North Carolina
"Burke County,  North Dakota", North Dakota
"Burleigh County,  North Dakota", North Dakota
"Burleson County,  Texas", Texas
"Burlington County,  New Jersey", New Jersey
"Burnet County,  Texas", Texas
"Burnett County,  Wisconsin", Wisconsin
"Burt County,  Nebraska", Nebraska
"Butler County,  Alabama", Alabama
"Butler County,  Iowa", Iowa
"Butler County,  Kansas", Kansas
"Butler County,  Kentucky", Kentucky
"Butler County,  Missouri", Missouri
"Butler County,  Nebraska", Nebraska
"Butler County,  Ohio", Ohio
"Butler County,  Pennsylvania", Pennsylvania
"Butte County,  California", California
"Butte County,  Idaho", Idaho
"Butte County,  South Dakota", South Dakota
"Butts County,  Georgia", Georgia
"Cabarrus County,  North Carolina", North Carolina
"Cabell County,  West Virginia", West Virginia
"Cabo Rojo Municipality,  Puerto Rico", Puerto Rico
"Cache County,  Utah", Utah
"Caddo County,  Oklahoma", Oklahoma
"Caddo Parish,  Louisiana", Louisiana
"Caguas Municipality,  Puerto Rico", Puerto Rico
"Calaveras County,  California", California
"Calcasieu Parish,  Louisiana", Louisiana
"Caldwell County,  Kentucky", Kentucky
"Caldwell County,  Missouri", Missouri
"Caldwell County,  North Carolina", North Carolina
"Caldwell County,  Texas", Texas
"Caldwell Parish,  Louisiana", Louisiana
"Caledonia County,  Vermont", Vermont
"Calhoun County,  Alabama", Alabama
"Calhoun County,  Arkansas", Arkansas
"Calhoun County,  Florida", Florida
"Calhoun County,  Georgia", Georgia
"Calhoun County,  Illinois", Illinois
"Calhoun County,  Iowa", Iowa
"Calhoun County,  Michigan", Michigan
"Calhoun County,  Mississippi", Mississippi
"Calhoun County,  South Carolina", South Carolina
"Calhoun County,  Texas", Texas
"Calhoun County,  West Virginia", West Virginia
"Callahan County,  Texas", Texas
"Callaway County,  Missouri", Missouri
"Calloway County,  Kentucky", Kentucky
"Calumet County,  Wisconsin", Wisconsin
"Calvert County,  Maryland", Maryland
"Camas County,  Idaho", Idaho
"Cambria County,  Pennsylvania", Pennsylvania
"Camden County,  Georgia", Georgia
"Camden County,  Missouri", Missouri
"Camden County,  New Jersey", New Jersey
"Camden County,  North Carolina", North Carolina
"Cameron County,  Pennsylvania", Pennsylvania
"Cameron County,  Texas", Texas
"Cameron Parish,  Louisiana", Louisiana
"Camp County,  Texas", Texas
"Campbell County,  Kentucky", Kentucky
"Campbell County,  South Dakota", South Dakota
"Campbell County,  Tennessee", Tennessee
"Campbell County,  Virginia", Virginia
"Campbell County,  Wyoming", Wyoming
"Camuy Municipality,  Puerto Rico", Puerto Rico
"Canadian County,  Oklahoma", Oklahoma
"Candler County,  Georgia", Georgia
"Cannon County,  Tennessee", Tennessee
"Canóvanas Municipality,  Puerto Rico", Puerto Rico
"Canyon County,  Idaho", Idaho
"Cape Girardeau County,  Missouri", Missouri
"Cape May County,  New Jersey", New Jersey
"Carbon County,  Montana", Montana
"Carbon County,  Pennsylvania", Pennsylvania
"Carbon County,  Utah", Utah
"Carbon County,  Wyoming", Wyoming
"Caribou County,  Idaho", Idaho
"Carlisle County,  Kentucky", Kentucky
"Carlton County,  Minnesota", Minnesota
"Carolina Municipality,  Puerto Rico", Puerto Rico
"Caroline County,  Maryland", Maryland
"Caroline County,  Virginia", Virginia
"Carroll County,  Arkansas", Arkansas
"Carroll County,  Georgia", Georgia
"Carroll County,  Illinois", Illinois
"Carroll County,  Indiana", Indiana
"Carroll County,  Iowa", Iowa
"Carroll County,  Kentucky", Kentucky
"Carroll County,  Maryland", Maryland
"Carroll County,  Mississippi", Mississippi
"Carroll County,  Missouri", Missouri
"Carroll County,  New Hampshire", New Hampshire
"Carroll County,  Ohio", Ohio
"Carroll County,  Tennessee", Tennessee
"Carroll County,  Virginia", Virginia
"Carson County,  Texas", Texas
"Carter County,  Kentucky", Kentucky
"Carter County,  Missouri", Missouri
"Carter County,  Montana", Montana
"Carter County,  Oklahoma", Oklahoma
"Carter County,  Tennessee", Tennessee
